q = [
0.005968, 0.008144, 0.016249, 0.035554, 0.066773, 0.141949, 0.283591, 0.599546, 1.235449;
0.007014, 0.008136, 0.017704, 0.033170, 0.067324, 0.143202, 0.279579, 0.595749, 1.243610];
pt3 = [
0.007652, 0.011336, 0.017248, 0.032041, 0.058548, 0.113407, 0.221185, 0.415682, 0.818810;
0.008652, 0.011968, 0.018841, 0.035794, 0.062822, 0.112033, 0.240135, 0.456986, 0.833155;
0.007515, 0.011930, 0.020269, 0.033663, 0.059161, 0.094245, 0.223025, 0.463466, 0.841168;
0.007786, 0.009886, 0.019174, 0.034146, 0.063495, 0.127382, 0.242790, 0.418591, 0.895324;
0.008710, 0.009017, 0.019237, 0.033871, 0.054168, 0.110707, 0.235135, 0.485748, 0.870166;
0.009527, 0.009510, 0.017435, 0.033972, 0.062781, 0.112662, 0.224957, 0.418668, 0.846079;
0.007621, 0.010735, 0.018238, 0.034360, 0.078900, 0.121154, 0.230484, 0.480986, 0.822902;
0.007512, 0.011893, 0.020296, 0.030701, 0.060892, 0.110663, 0.223363, 0.444976, 0.885531;
0.007297, 0.011883, 0.018168, 0.034385, 0.061368, 0.113712, 0.231319, 0.508531, 0.853665;
0.007718, 0.009935, 0.017021, 0.032322, 0.059737, 0.114403, 0.227858, 0.440907, 0.878011;
0.006788, 0.012026, 0.017703, 0.029820, 0.061224, 0.103468, 0.236472, 0.423458, 0.809675;
0.007711, 0.010737, 0.019785, 0.034366, 0.061279, 0.109803, 0.231769, 0.441025, 0.845555;
0.008569, 0.009698, 0.017821, 0.033650, 0.064020, 0.116380, 0.229075, 0.505481, 0.838965;
0.008886, 0.011143, 0.018610, 0.034565, 0.061597, 0.103729, 0.227854, 0.423447, 0.814618;
0.005137, 0.010510, 0.018580, 0.034489, 0.071066, 0.112582, 0.256864, 0.510211, 0.824839;
0.006750, 0.010423, 0.019479, 0.033724, 0.059462, 0.111163, 0.245674, 0.515996, 0.828414;
0.008116, 0.010746, 0.018375, 0.035823, 0.057934, 0.129647, 0.251851, 0.419143, 0.820215;
0.008475, 0.011398, 0.018220, 0.035530, 0.063691, 0.113298, 0.224170, 0.495156, 0.809214;
0.006963, 0.012274, 0.014972, 0.029430, 0.068227, 0.131022, 0.187562, 0.405570, 0.866018;
0.007992, 0.009967, 0.021814, 0.035604, 0.068662, 0.111005, 0.250063, 0.420335, 0.871795;
0.008424, 0.009798, 0.017703, 0.034040, 0.069283, 0.128811, 0.221735, 0.457945, 0.830789;
0.007682, 0.010961, 0.018728, 0.034178, 0.059166, 0.120014, 0.224243, 0.426333, 0.850590;
